Mí gói	kg				8	3,000
Xương heo	kg				0.5	70,000
Giá	kg				0.5	10,000
Nước tương	kg				1	14,000
Thịt vai heo	kg				1.4	90,000
Củ cải trắng	kg				1.2	12,000
Cá bạc má	kg				2	45,000
Cần đà lạt	kg				0.4	20,000
Cà chua	kg				0.5	14,000
Đậu que	kg				1.4	15,000
Đậu hủ	kg				8	2,500
Cá phi	kg				1.4	40,000
Cải ngọt	kg				0.8	13,000
Thịt bằm	kg				0.1	85,000
Rau muống	kg				1	10,000
	kg					
	kg					
	kg					
Muối bột	kg				0.1	6,000
Đường cát	kg				0.05	18,000
Bột Ngọt	kg				0.05	58,000
Nước mắm	kg				0.2	16,000
Tiêu bột	kg				0.01	280,000
Tỏi củ	kg				0.05	40,000
Ớt trái	kg				0.05	40,000
Hành lá	kg				0.1	23,000
Nước rửa chén	lít				0.05	16,000
Dầu ăn	lít				0.2	27,000
Rau nêm	kg				0.2	5,000
Gia vị	kg					
Nước màu	lít				0.05	18,000
Thịt heo đùi	kg				27	90,000	2,430,000
Trứng	kg				146	2,500	365,000
Bắp cải 	kg				10	14,000	140,000
Đậu bắp 	kg				4.5	14,000	63,000
Mồng tơi	kg				10	13,000	130,000
Củ cải	kg				11	16,000	176,000
Khô cá mối 	kg				8	110,000	880,000
Đậu que 	kg				15	15,000	225,000
Khoai mỡ	kg				13	14,000	182,000
Cải chua	kg				8	16,000	128,000
Cá hường 	kg				8.2	45,000	369,000
Cải ngọt 	kg				9	12,000	108,000
bạc hà	kg				4	16,000	64,000
Me	kg				4	30,000	120,000
Cà chua					3	11,000	33,000
Giá					4	10,000	40,000
Ruốc					1	120,000	120,000
							
Muối bột	kg				4	6,000	24,000
Đường cát	kg				3	19,000	57,000
Bột Ngọt	kg				2	58,000	116,000
Nước mắm	kg				2	17,000	34,000
Tiêu bột	kg				0.2	300,000	60,000
Tỏi củ	kg				1	40,000	40,000
Ớt trái	kg				1	40,000	40,000
Hành lá	kg				1	40,000	40,000
Nước rửa chén	kg				1	16,000	16,000
Dầu ăn	kg				3	27,000	81,000
Chuối 	kg				24	11,000	264,000
Nước màu					1	40,000	40,000
Thịt heo đùi	kg				26.5	90,000	2,385,000
Chả cá 	kg				5	90,000	450,000
Bắp cải 	kg				10	14,000	140,000
Bầu	kg				10	12,000	120,000
Cá phi 	kg				15	50,000	750,000
Tương hột	kg				2	21,000	42,000
Nấm mèo	kg				2	180,000	360,000
Cà chua	kg				2	12,000	24,000
Rau lang 	kg				16	10,000	160,000
Mồng tơi	kg				15.5	14,000	217,000
Cá nục 	kg				9	45,000	405,000
Thơm	kg				9	7,000	63,000
Cải xanh 					10	12,000	120,000
Xâm đất					10	14,000	140,000
Ruốc	kg				1	120,000	120,000
							
							
Muối bột	kg				4	6,000	24,000
Đường cát	kg				3	19,000	57,000
Bột Ngọt	kg				2	58,000	116,000
Nước mắm	kg				2	17,000	34,000
Tiêu bột	kg				0.2	300,000	60,000
Tỏi củ	kg				1	40,000	40,000
Ớt trái	kg				1	40,000	40,000
Hành lá	kg				1	40,000	40,000
Nước rửa chén	kg				1	16,000	16,000
Dầu ăn	kg				3	27,000	81,000
Chôm chôm 	kg				24	14,000	336,000
Nước màu					1	40,000	40,000
Thịt heo đùi	kg				28	90,000	2,520,000
Trứng	kg				151	2,500	377,500
Rau muống 	kg				10.5	10,000	105,000
Me 	kg				3	30,000	90,000
Cà chua	kg				4	11,000	44,000
Măng	kg				13.5	21,000	283,500
Cá diêu hồng 	kg				16.5	47,000	775,500
Cà trắng 	kg				16	14,000	224,000
Mồng tơi	kg				16	13,000	208,000
đậu hủ	kg				78	3,000	234,000
Cá trê 	kg				9	45,000	405,000
Rau lang 	kg				10	10,000	100,000
bí đỏ	kg				10	15,000	150,000
Ruốc	kg				1.5	120,000	180,000
	kg						
	kg						
	kg						
Muối	kg				3	6,000	18,000
Đường	kg				2	19,000	38,000
Bột Ngọt	kg				1.5	58,000	87,000
Nước mắm	kg				2	17,000	34,000
Tiêu	kg				0.1	300,000	30,000
Tỏi	kg				1	40,000	40,000
Ớt	kg				1	40,000	40,000
Hành	kg				1	40,000	40,000
Nước rửa chén	kg				1	16,000	16,000
Dầu ăn	kg				1.3	27,000	35,100
Thanh Long					24	14,000	336,000
Nước màu					0.5	40,000	20,000
